Marvin;29;1;2015
Christoph;28;1;2015
Konstantin;28;1;2015
Philip;28;1;2015
Vincent;28;1;2015
David;176;1;2014
Tobias;165;1;2014
Alexander;163;1;2014
Lukas;163;1;2014
Elias;150;1;2014
Jonas;148;1;2014
Maximilian;148;1;2014
Paul;136;1;2014
Leon;133;1;2014
Sebastian;131;1;2014
Julian;118;1;2014
Felix;117;1;2014
Jakob;117;1;2014
Fabian;115;1;2014
Florian;115;1;2014
Moritz;110;1;2014
Simon;110;1;2014
Raphael;98;1;2014
Samuel;93;1;2014
Daniel;92;1;2014
Matthias;89;1;2014
Luca;88;1;2014
Dominik;77;1;2014
Niklas;73;1;2014
Marcel;71;1;2014
Noah;70;1;2014
Michael;68;1;2014
Benjamin;64;1;2014
Philipp;59;1;2014
Nico;58;1;2014
Johannes;55;1;2014
Lorenz;52;1;2014
Luis;52;1;2014
Valentin;50;1;2014
Jan;46;1;2014
Adrian;45;1;2014
Oliver;45;1;2014
Clemens;43;1;2014
Ben;41;1;2014
Konstantin;41;1;2014
Manuel;40;1;2014
Gabriel;38;1;2014
Stefan;38;1;2014
Theodor;36;1;2014
Thomas;36;1;2014
Tim;36;1;2014
Andreas;34;1;2014
Christian;34;1;2014
Leo;34;1;2014
Jonathan;33;1;2014
Christoph;32;1;2014
Emil;32;1;2014
Markus;32;1;2014
Matteo;32;1;2014
Martin;31;1;2014
Max;31;1;2014
Timo;31;1;2014
Fabio;28;1;2014
Laurenz;28;1;2014
Finn;26;1;2014
Constantin;26;1;2014
Liam;26;1;2014
Louis;26;1;2014
Vincent;26;1;2014
Tobias;181;1;2013
Felix;161;1;2013
Lukas;156;1;2013
Sebastian;156;1;2013
Jonas;145;1;2013
Maximilian;144;1;2013
David;135;1;2013
Fabian;132;1;2013
Leon;131;1;2013
Alexander;129;1;2013
Paul;129;1;2013
Jakob;128;1;2013
Simon;128;1;2013
Elias;123;1;2013
Florian;112;1;2013
Moritz;109;1;2013
Julian;108;1;2013
Luca;89;1;2013
Daniel;87;1;2013
Raphael;87;1;2013
Matthias;80;1;2013
Niklas;79;1;2013
Samuel;79;1;2013
Nico;77;1;2013
Michael;73;1;2013
Marcel;70;1;2013
Benjamin;66;1;2013
Philipp;65;1;2013
Lorenz;60;1;2013
Jan;57;1;2013
Johannes;56;1;2013
Dominik;52;1;2013
Noah;52;1;2013
Adrian;49;1;2013
Valentin;48;1;2013
Gabriel;46;1;2013
Oliver;46;1;2013
Manuel;45;1;2013
Fabio;43;1;2013
Ben;41;1;2013
Emil;39;1;2013
Leo;39;1;2013
Matteo;39;1;2013
Clemens;38;1;2013
Stefan;38;1;2013
Thomas;37;1;2013
Andreas;34;1;2013
Jonathan;34;1;2013
Luis;34;1;2013
Markus;34;1;2013
Max;34;1;2013
Kilian;33;1;2013
Martin;30;1;2013
Anton;29;1;2013
Benedikt;29;1;2013
Timo;29;1;2013
Philip;28;1;2013
Tim;28;1;2013
Konstantin;27;1;2013
Rafael;27;1;2013
Tobias;185;1;2012
Lukas;174;1;2012
Jonas;158;1;2012
Sebastian;156;1;2012
Alexander;153;1;2012
David;150;1;2012
Fabian;145;1;2012
Maximilian;141;1;2012
Elias;136;1;2012
Jakob;136;1;2012
Julian;136;1;2012
Felix;129;1;2012
Luca;128;1;2012
Leon;124;1;2012
Paul;121;1;2012
Florian;113;1;2012
Moritz;109;1;2012
Raphael;106;1;2012
Simon;100;1;2012
Nico;83;1;2012
Samuel;83;1;2012
Michael;82;1;2012
Lorenz;74;1;2012
Daniel;73;1;2012
Matthias;73;1;2012
Dominik;70;1;2012
Noah;70;1;2012
Niklas;64;1;2012
Benjamin;63;1;2012
Philipp;62;1;2012
Marcel;60;1;2012
Valentin;57;1;2012
Gabriel;56;1;2012
Johannes;56;1;2012
Jan;54;1;2012
Manuel;51;1;2012
Stefan;43;1;2012
Clemens;41;1;2012
Oliver;41;1;2012
Ben;39;1;2012
Tim;38;1;2012
Leo;37;1;2012
Thomas;37;1;2012
Christoph;35;1;2012
Emil;34;1;2012
Laurenz;32;1;2012
Martin;32;1;2012
Timo;32;1;2012
Luis;31;1;2012
Marco;30;1;2012
Jonathan;29;1;2012
Kilian;29;1;2012
Konstantin;28;1;2012
Lucas;27;1;2012
Mario;27;1;2012
Patrick;27;1;2012
Adrian;26;1;2012
Anton;26;1;2012
Rafael;26;1;2012
Andreas;25;1;2012
Christian;25;1;2012
Fabio;25;1;2012
Matteo;25;1;2012
Philip;25;1;2012
Tobias;193;1;2011
Lukas;185;1;2011
David;167;1;2011
Jonas;164;1;2011
Maximilian;157;1;2011
Sebastian;156;1;2011
Julian;152;1;2011
Leon;151;1;2011
Alexander;143;1;2011
Simon;136;1;2011
Jakob;131;1;2011
Elias;129;1;2011
Florian;127;1;2011
Fabian;126;1;2011
Paul;121;1;2011
Felix;117;1;2011
Moritz;114;1;2011
Daniel;102;1;2011
Raphael;100;1;2011
Matthias;83;1;2011
Michael;82;1;2011
Nico;80;1;2011
Philipp;79;1;2011
Dominik;76;1;2011
Niklas;75;1;2011
Noah;70;1;2011
Samuel;69;1;2011
Benjamin;67;1;2011
Gabriel;62;1;2011
Marcel;62;1;2011
Luca;61;1;2011
Manuel;55;1;2011
Stefan;54;1;2011
Johannes;51;1;2011
Andreas;49;1;2011
Christoph;49;1;2011
Thomas;47;1;2011
Jan;45;1;2011
Valentin;44;1;2011
Fabio;41;1;2011
Clemens;40;1;2011
Oliver;38;1;2011
Lorenz;37;1;2011
Tim;37;1;2011
Ben;36;1;2011
Kilian;34;1;2011
Matteo;34;1;2011
Rafael;33;1;2011
Adrian;32;1;2011
Marco;32;1;2011
Emil;31;1;2011
Konstantin;30;1;2011
Leo;30;1;2011
Lucas;28;1;2011
Pascal;28;1;2011
Patrick;28;1;2011
Max;26;1;2011
Philip;26;1;2011
Kevin;25;1;2011
Markus;25;1;2011
Timo;25;1;2011
Lukas;207;1;2010
Tobias;200;1;2010
Jonas;169;1;2010
David;166;1;2010
Maximilian;165;1;2010
Sebastian;142;1;2010
Alexander;139;1;2010
Florian;137;1;2010
Simon;134;1;2010
Jakob;131;1;2010
Leon;120;1;2010
Paul;120;1;2010
Fabian;118;1;2010
Julian;118;1;2010
Elias;117;1;2010
Felix;102;1;2010
Daniel;100;1;2010
Moritz;100;1;2010
Michael;90;1;2010
Nico;87;1;2010
Niklas;85;1;2010
Luca;81;1;2010
Raphael;78;1;2010
Samuel;75;1;2010
Dominik;74;1;2010
Marcel;74;1;2010
Philipp;65;1;2010
Benjamin;63;1;2010
Matthias;62;1;2010
Valentin;60;1;2010
